date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file
"2025-01-11,16:00:45",[  224] ,[ 1466] *,[  775] ,[ 1589] *,[ 1683] *,[ 1103] *,[  700] ,[  434] ,[ 1938] *,[   96] ,20250111_160045_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160045_foto_normalized.npy
"2025-01-11,16:00:56",[  223] ,[ 1457] *,[  773] ,[ 1577] *,[ 1672] *,[ 1096] *,[  695] ,[  431] ,[ 1930] *,[   95] ,20250111_160056_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160056_foto_normalized.npy
"2025-01-11,16:01:05",[  222] ,[ 1455] *,[  773] ,[ 1575] *,[ 1670] *,[ 1094] *,[  694] ,[  431] ,[ 1928] *,[   95] ,20250111_160105_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160105_foto_normalized.npy
"2025-01-11,16:01:13",[  222] ,[ 1455] *,[  772] ,[ 1574] *,[ 1668] *,[ 1094] *,[  694] ,[  430] ,[ 1926] *,[   95] ,20250111_160113_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160113_foto_normalized.npy
"2025-01-11,16:01:22",[  222] ,[ 1453] *,[  772] ,[ 1571] *,[ 1668] *,[ 1093] *,[  694] ,[  430] ,[ 1926] *,[   95] ,20250111_160122_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160122_foto_normalized.npy
"2025-01-11,16:01:32",[  222] ,[ 1453] *,[  772] ,[ 1572] *,[ 1667] *,[ 1093] *,[  694] ,[  430] ,[ 1926] *,[   95] ,20250111_160132_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160132_foto_normalized.npy
"2025-01-11,16:01:45",[  222] ,[ 1452] *,[  771] ,[ 1570] *,[ 1665] *,[ 1092] *,[  693] ,[  430] ,[ 1918] *,[   95] ,20250111_160145_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160145_foto_normalized.npy
"2025-01-11,16:01:54",[  221] ,[ 1451] *,[  771] ,[ 1569] *,[ 1664] *,[ 1091] *,[  693] ,[  430] ,[ 1916] *,[   94] ,20250111_160154_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160154_foto_normalized.npy
"2025-01-11,16:02:02",[  222] ,[ 1450] *,[  770] ,[ 1569] *,[ 1664] *,[ 1090] *,[  693] ,[  429] ,[ 1917] *,[   94] ,20250111_160202_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160202_foto_normalized.npy
"2025-01-11,16:02:10",[  222] ,[ 1450] *,[  770] ,[ 1568] *,[ 1663] *,[ 1090] *,[  692] ,[  429] ,[ 1918] *,[   94] ,20250111_160210_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160210_foto_normalized.npy
"2025-01-11,16:02:18",[  221] ,[ 1450] *,[  770] ,[ 1568] *,[ 1663] *,[ 1091] *,[  692] ,[  429] ,[ 1919] *,[   94] ,20250111_160218_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160218_foto_normalized.npy
"2025-01-11,16:02:28",[  221] ,[ 1451] *,[  770] ,[ 1568] *,[ 1663] *,[ 1090] *,[  692] ,[  429] ,[ 1918] *,[   94] ,20250111_160228_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160228_foto_normalized.npy
"2025-01-11,16:02:37",[  221] ,[ 1450] *,[  770] ,[ 1568] *,[ 1663] *,[ 1090] *,[  692] ,[  429] ,[ 1916] *,[   94] ,20250111_160237_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160237_foto_normalized.npy
"2025-01-11,16:02:45",[  221] ,[ 1449] *,[  770] ,[ 1567] *,[ 1661] *,[ 1090] *,[  692] ,[  429] ,[ 1918] *,[   94] ,20250111_160245_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160245_foto_normalized.npy
"2025-01-11,16:02:54",[  221] ,[ 1448] *,[  769] ,[ 1567] *,[ 1662] *,[ 1089] *,[  691] ,[  428] ,[ 1915] *,[   94] ,20250111_160254_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160254_foto_normalized.npy
"2025-01-11,16:03:02",[  221] ,[ 1449] *,[  769] ,[ 1566] *,[ 1660] *,[ 1089] *,[  691] ,[  429] ,[ 1913] *,[   94] ,20250111_160302_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160302_foto_normalized.npy
"2025-01-11,16:03:11",[  221] ,[ 1449] *,[  769] ,[ 1565] *,[ 1660] *,[ 1089] *,[  691] ,[  428] ,[ 1914] *,[   94] ,20250111_160311_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160311_foto_normalized.npy
"2025-01-11,16:03:19",[  221] ,[ 1448] *,[  768] ,[ 1565] *,[ 1660] *,[ 1088] *,[  691] ,[  428] ,[ 1913] *,[   94] ,20250111_160319_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160319_foto_normalized.npy
"2025-01-11,16:03:29",[  220] ,[ 1447] *,[  768] ,[ 1563] *,[ 1659] *,[ 1088] *,[  691] ,[  428] ,[ 1914] *,[   94] ,20250111_160329_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160329_foto_normalized.npy
"2025-01-11,16:03:37",[  221] ,[ 1448] *,[  769] ,[ 1565] *,[ 1660] *,[ 1089] *,[  691] ,[  429] ,[ 1914] *,[   94] ,20250111_160337_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160337_foto_normalized.npy
"2025-01-11,16:03:47",[  221] ,[ 1448] *,[  768] ,[ 1565] *,[ 1659] *,[ 1088] *,[  690] ,[  428] ,[ 1908] *,[   94] ,20250111_160347_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160347_foto_normalized.npy
"2025-01-11,16:03:54",[  221] ,[ 1447] *,[  768] ,[ 1564] *,[ 1659] *,[ 1088] *,[  691] ,[  428] ,[ 1911] *,[   94] ,20250111_160354_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160354_foto_normalized.npy
"2025-01-11,16:04:02",[  220] ,[ 1446] *,[  767] ,[ 1563] *,[ 1658] *,[ 1087] *,[  690] ,[  428] ,[ 1906] *,[   94] ,20250111_160402_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160402_foto_normalized.npy
"2025-01-11,16:04:11",[  220] ,[ 1447] *,[  768] ,[ 1563] *,[ 1658] *,[ 1088] *,[  690] ,[  428] ,[ 1909] *,[   94] ,20250111_160411_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160411_foto_normalized.npy
