date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file
"2025-01-10,17:57:21",[  196] ,[ 1272] *,[  696] ,[ 1438] *,[ 1533] *,[  971] ,[  622] ,[  393] ,[ 1816] *,[   94] ,20250110_175721_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175722_foto_normalized.npy
"2025-01-10,17:57:42",[  195] ,[ 1265] *,[  694] ,[ 1428] *,[ 1523] *,[  965] ,[  618] ,[  391] ,[ 1807] *,[   93] ,20250110_175742_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175742_foto_normalized.npy
"2025-01-10,17:57:49",[  195] ,[ 1264] *,[  694] ,[ 1426] *,[ 1521] *,[  965] ,[  618] ,[  391] ,[ 1807] *,[   93] ,20250110_175749_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175749_foto_normalized.npy
"2025-01-10,17:57:56",[  195] ,[ 1265] *,[  695] ,[ 1426] *,[ 1521] *,[  964] ,[  617] ,[  391] ,[ 1806] *,[   93] ,20250110_175756_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175756_foto_normalized.npy
"2025-01-10,17:58:04",[  195] ,[ 1265] *,[  695] ,[ 1426] *,[ 1520] *,[  964] ,[  617] ,[  391] ,[ 1805] *,[   93] ,20250110_175804_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175804_foto_normalized.npy
"2025-01-10,17:58:11",[  195] ,[ 1264] *,[  695] ,[ 1425] *,[ 1519] *,[  963] ,[  617] ,[  391] ,[ 1805] *,[   93] ,20250110_175811_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175811_foto_normalized.npy
"2025-01-10,17:58:19",[  194] ,[ 1262] *,[  694] ,[ 1424] *,[ 1518] *,[  962] ,[  617] ,[  391] ,[ 1802] *,[   93] ,20250110_175819_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175819_foto_normalized.npy
"2025-01-10,17:58:27",[  194] ,[ 1263] *,[  694] ,[ 1425] *,[ 1519] *,[  963] ,[  617] ,[  391] ,[ 1805] *,[   93] ,20250110_175827_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175827_foto_normalized.npy
"2025-01-10,17:58:34",[  194] ,[ 1262] *,[  694] ,[ 1423] *,[ 1518] *,[  963] ,[  617] ,[  391] ,[ 1804] *,[   93] ,20250110_175834_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175834_foto_normalized.npy
"2025-01-10,17:58:41",[  194] ,[ 1261] *,[  694] ,[ 1423] *,[ 1518] *,[  962] ,[  617] ,[  391] ,[ 1803] *,[   93] ,20250110_175841_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175841_foto_normalized.npy
"2025-01-10,17:58:48",[  194] ,[ 1261] *,[  694] ,[ 1423] *,[ 1517] *,[  962] ,[  616] ,[  390] ,[ 1801] *,[   93] ,20250110_175848_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175848_foto_normalized.npy
"2025-01-10,17:58:56",[  194] ,[ 1262] *,[  693] ,[ 1422] *,[ 1518] *,[  962] ,[  617] ,[  391] ,[ 1801] *,[   93] ,20250110_175856_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175856_foto_normalized.npy
"2025-01-10,17:59:04",[  194] ,[ 1261] *,[  693] ,[ 1423] *,[ 1516] *,[  962] ,[  616] ,[  390] ,[ 1801] *,[   93] ,20250110_175904_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175904_foto_normalized.npy
"2025-01-10,17:59:13",[  194] ,[ 1261] *,[  693] ,[ 1422] *,[ 1516] *,[  961] ,[  616] ,[  390] ,[ 1800] *,[   93] ,20250110_175913_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175913_foto_normalized.npy
"2025-01-10,17:59:20",[  194] ,[ 1261] *,[  693] ,[ 1422] *,[ 1517] *,[  961] ,[  616] ,[  390] ,[ 1800] *,[   93] ,20250110_175920_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175920_foto_normalized.npy
"2025-01-10,17:59:27",[  194] ,[ 1261] *,[  693] ,[ 1422] *,[ 1516] *,[  961] ,[  616] ,[  391] ,[ 1800] *,[   93] ,20250110_175927_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175927_foto_normalized.npy
"2025-01-10,17:59:35",[  194] ,[ 1260] *,[  693] ,[ 1422] *,[ 1516] *,[  962] ,[  616] ,[  390] ,[ 1800] *,[   93] ,20250110_175935_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175935_foto_normalized.npy
"2025-01-10,17:59:42",[  194] ,[ 1261] *,[  693] ,[ 1422] *,[ 1516] *,[  962] ,[  616] ,[  391] ,[ 1799] *,[   93] ,20250110_175942_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175942_foto_normalized.npy
"2025-01-10,17:59:49",[  194] ,[ 1260] *,[  693] ,[ 1422] *,[ 1516] *,[  961] ,[  616] ,[  390] ,[ 1798] *,[   93] ,20250110_175949_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175949_foto_normalized.npy
"2025-01-10,17:59:56",[  194] ,[ 1260] *,[  692] ,[ 1421] *,[ 1515] *,[  961] ,[  616] ,[  390] ,[ 1799] *,[   93] ,20250110_175956_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_175956_foto_normalized.npy
"2025-01-10,18:00:04",[  194] ,[ 1261] *,[  692] ,[ 1421] *,[ 1514] *,[  960] ,[  616] ,[  390] ,[ 1797] *,[   93] ,20250110_180004_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180004_foto_normalized.npy
"2025-01-10,18:00:11",[  194] ,[ 1259] *,[  693] ,[ 1421] *,[ 1514] *,[  961] ,[  616] ,[  390] ,[ 1797] *,[   93] ,20250110_180011_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180011_foto_normalized.npy
"2025-01-10,18:00:18",[  194] ,[ 1260] *,[  692] ,[ 1422] *,[ 1515] *,[  961] ,[  616] ,[  390] ,[ 1798] *,[   93] ,20250110_180018_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180018_foto_normalized.npy
"2025-01-10,18:00:25",[  194] ,[ 1259] *,[  692] ,[ 1421] *,[ 1514] *,[  960] ,[  616] ,[  390] ,[ 1797] *,[   93] ,20250110_180025_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180025_foto_normalized.npy
"2025-01-10,18:00:33",[  194] ,[ 1259] *,[  692] ,[ 1421] *,[ 1514] *,[  960] ,[  616] ,[  390] ,[ 1798] *,[   93] ,20250110_180033_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180033_foto_normalized.npy
"2025-01-10,18:00:40",[  194] ,[ 1260] *,[  692] ,[ 1421] *,[ 1514] *,[  961] ,[  616] ,[  390] ,[ 1798] *,[   93] ,20250110_180040_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180040_foto_normalized.npy
"2025-01-10,18:00:48",[  193] ,[ 1260] *,[  692] ,[ 1421] *,[ 1515] *,[  961] ,[  616] ,[  390] ,[ 1797] *,[   93] ,20250110_180048_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180048_foto_normalized.npy
"2025-01-10,18:00:56",[  193] ,[ 1259] *,[  692] ,[ 1421] *,[ 1514] *,[  961] ,[  616] ,[  390] ,[ 1797] *,[   93] ,20250110_180056_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180056_foto_normalized.npy
"2025-01-10,18:01:03",[  193] ,[ 1258] *,[  692] ,[ 1419] *,[ 1513] *,[  960] ,[  615] ,[  390] ,[ 1795] *,[   93] ,20250110_180103_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180103_foto_normalized.npy
"2025-01-10,18:01:11",[  193] ,[ 1259] *,[  692] ,[ 1421] *,[ 1514] *,[  960] ,[  615] ,[  390] ,[ 1796] *,[   93] ,20250110_180111_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180111_foto_normalized.npy
"2025-01-10,18:01:18",[  193] ,[ 1259] *,[  692] ,[ 1420] *,[ 1513] *,[  959] ,[  615] ,[  390] ,[ 1794] *,[   93] ,20250110_180118_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180118_foto_normalized.npy
"2025-01-10,18:01:26",[  193] ,[ 1259] *,[  692] ,[ 1420] *,[ 1513] *,[  960] ,[  615] ,[  390] ,[ 1795] *,[   93] ,20250110_180126_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180126_foto_normalized.npy
"2025-01-10,18:01:33",[  193] ,[ 1258] *,[  692] ,[ 1419] *,[ 1513] *,[  960] ,[  615] ,[  390] ,[ 1795] *,[   93] ,20250110_180133_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/gluten/numpy_files/20250110_180133_foto_normalized.npy
