date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file
"2025-01-11,15:39:43",[  221] ,[ 1458] *,[  769] ,[ 1583] *,[ 1680] *,[ 1095] *,[  698] ,[  431] ,[ 2030] **,[   99] ,20250111_153943_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_153943_foto_normalized.npy
"2025-01-11,15:40:05",[  219] ,[ 1441] *,[  764] ,[ 1565] *,[ 1661] *,[ 1081] *,[  690] ,[  427] ,[ 2029] **,[   99] ,20250111_154005_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154005_foto_normalized.npy
"2025-01-11,15:40:13",[  219] ,[ 1439] *,[  764] ,[ 1563] *,[ 1659] *,[ 1080] *,[  689] ,[  426] ,[ 2027] **,[   99] ,20250111_154013_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154013_foto_normalized.npy
"2025-01-11,15:40:21",[  219] ,[ 1438] *,[  764] ,[ 1561] *,[ 1658] *,[ 1079] *,[  689] ,[  426] ,[ 2027] **,[   99] ,20250111_154021_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154021_foto_normalized.npy
"2025-01-11,15:40:29",[  219] ,[ 1438] *,[  763] ,[ 1562] *,[ 1657] *,[ 1080] *,[  689] ,[  426] ,[ 2026] **,[   99] ,20250111_154029_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154029_foto_normalized.npy
"2025-01-11,15:40:38",[  219] ,[ 1438] *,[  763] ,[ 1560] *,[ 1657] *,[ 1078] *,[  688] ,[  426] ,[ 2024] **,[   99] ,20250111_154038_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154038_foto_normalized.npy
"2025-01-11,15:40:45",[  218] ,[ 1436] *,[  762] ,[ 1558] *,[ 1654] *,[ 1077] *,[  688] ,[  425] ,[ 2023] **,[   99] ,20250111_154045_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154045_foto_normalized.npy
"2025-01-11,15:40:53",[  218] ,[ 1438] *,[  763] ,[ 1560] *,[ 1655] *,[ 1077] *,[  688] ,[  425] ,[ 2024] **,[   99] ,20250111_154053_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154053_foto_normalized.npy
"2025-01-11,15:41:02",[  218] ,[ 1437] *,[  763] ,[ 1558] *,[ 1655] *,[ 1077] *,[  688] ,[  425] ,[ 2022] **,[   99] ,20250111_154102_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154102_foto_normalized.npy
"2025-01-11,15:41:12",[  218] ,[ 1436] *,[  762] ,[ 1558] *,[ 1654] *,[ 1077] *,[  687] ,[  425] ,[ 2020] **,[   98] ,20250111_154112_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154112_foto_normalized.npy
"2025-01-11,15:41:22",[  218] ,[ 1435] *,[  762] ,[ 1557] *,[ 1652] *,[ 1075] *,[  687] ,[  425] ,[ 2014] **,[   98] ,20250111_154122_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154122_foto_normalized.npy
"2025-01-11,15:41:29",[  218] ,[ 1435] *,[  762] ,[ 1557] *,[ 1652] *,[ 1076] *,[  687] ,[  425] ,[ 2019] **,[   98] ,20250111_154129_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154129_foto_normalized.npy
"2025-01-11,15:41:38",[  218] ,[ 1435] *,[  762] ,[ 1557] *,[ 1653] *,[ 1076] *,[  687] ,[  425] ,[ 2018] **,[   99] ,20250111_154138_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154138_foto_normalized.npy
"2025-01-11,15:41:45",[  218] ,[ 1436] *,[  762] ,[ 1557] *,[ 1653] *,[ 1076] *,[  687] ,[  425] ,[ 2020] **,[   99] ,20250111_154145_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154145_foto_normalized.npy
"2025-01-11,15:41:53",[  218] ,[ 1436] *,[  762] ,[ 1557] *,[ 1652] *,[ 1076] *,[  686] ,[  425] ,[ 2017] **,[   98] ,20250111_154153_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154153_foto_normalized.npy
"2025-01-11,15:42:00",[  218] ,[ 1435] *,[  762] ,[ 1556] *,[ 1651] *,[ 1075] *,[  686] ,[  424] ,[ 2018] **,[   98] ,20250111_154200_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154200_foto_normalized.npy
"2025-01-11,15:42:08",[  218] ,[ 1435] *,[  761] ,[ 1556] *,[ 1651] *,[ 1075] *,[  686] ,[  424] ,[ 2017] **,[   98] ,20250111_154208_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154208_foto_normalized.npy
"2025-01-11,15:42:16",[  218] ,[ 1434] *,[  761] ,[ 1555] *,[ 1651] *,[ 1075] *,[  686] ,[  424] ,[ 2017] **,[   98] ,20250111_154216_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154216_foto_normalized.npy
"2025-01-11,15:42:24",[  218] ,[ 1435] *,[  761] ,[ 1556] *,[ 1651] *,[ 1075] *,[  686] ,[  424] ,[ 2017] **,[   98] ,20250111_154224_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154224_foto_normalized.npy
"2025-01-11,15:42:32",[  218] ,[ 1435] *,[  761] ,[ 1556] *,[ 1651] *,[ 1075] *,[  686] ,[  425] ,[ 2018] **,[   98] ,20250111_154232_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154232_foto_normalized.npy
