date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type
"2025-01-10,17:36:42",[  224] ,[ 1476] *,[  764] ,[ 1608] *,[ 1702] *,[ 1133] *,[  708] ,[  438] ,[ 1705] *,[   88] ,20250110_173642_foto.jpg,conchuela
"2025-01-10,17:36:51",[  223] ,[ 1470] *,[  763] ,[ 1599] *,[ 1693] *,[ 1127] *,[  705] ,[  436] ,[ 1697] *,[   87] ,20250110_173651_foto.jpg,conchuela
"2025-01-10,17:36:59",[  223] ,[ 1471] *,[  764] ,[ 1598] *,[ 1693] *,[ 1127] *,[  705] ,[  437] ,[ 1698] *,[   87] ,20250110_173659_foto.jpg,conchuela
"2025-01-10,17:37:06",[  223] ,[ 1471] *,[  763] ,[ 1599] *,[ 1693] *,[ 1127] *,[  705] ,[  436] ,[ 1698] *,[   87] ,20250110_173706_foto.jpg,conchuela
"2025-01-10,17:37:13",[  223] ,[ 1470] *,[  764] ,[ 1598] *,[ 1692] *,[ 1125] *,[  704] ,[  436] ,[ 1697] *,[   87] ,20250110_173713_foto.jpg,conchuela
"2025-01-10,17:37:25",[  223] ,[ 1470] *,[  763] ,[ 1597] *,[ 1691] *,[ 1125] *,[  704] ,[  436] ,[ 1697] *,[   87] ,20250110_173725_foto.jpg,conchuela
"2025-01-10,17:37:33",[  223] ,[ 1470] *,[  764] ,[ 1597] *,[ 1691] *,[ 1125] *,[  704] ,[  436] ,[ 1697] *,[   87] ,20250110_173733_foto.jpg,conchuela
"2025-01-10,17:37:41",[  223] ,[ 1470] *,[  764] ,[ 1597] *,[ 1690] *,[ 1125] *,[  704] ,[  436] ,[ 1697] *,[   87] ,20250110_173741_foto.jpg,conchuela
"2025-01-10,17:37:49",[  224] ,[ 1471] *,[  764] ,[ 1597] *,[ 1691] *,[ 1125] *,[  704] ,[  436] ,[ 1698] *,[   87] ,20250110_173749_foto.jpg,conchuela
"2025-01-10,17:37:57",[  223] ,[ 1471] *,[  764] ,[ 1597] *,[ 1691] *,[ 1125] *,[  704] ,[  436] ,[ 1698] *,[   87] ,20250110_173757_foto.jpg,conchuela
"2025-01-10,17:38:05",[  223] ,[ 1470] *,[  764] ,[ 1597] *,[ 1691] *,[ 1125] *,[  704] ,[  436] ,[ 1698] *,[   87] ,20250110_173805_foto.jpg,conchuela
"2025-01-10,17:38:14",[  223] ,[ 1467] *,[  763] ,[ 1593] *,[ 1690] *,[ 1125] *,[  704] ,[  436] ,[ 1697] *,[   87] ,20250110_173814_foto.jpg,conchuela
"2025-01-10,17:38:22",[  223] ,[ 1470] *,[  764] ,[ 1596] *,[ 1690] *,[ 1125] *,[  703] ,[  436] ,[ 1697] *,[   87] ,20250110_173822_foto.jpg,conchuela
"2025-01-10,17:38:30",[  223] ,[ 1470] *,[  764] ,[ 1595] *,[ 1689] *,[ 1124] *,[  703] ,[  436] ,[ 1697] *,[   87] ,20250110_173830_foto.jpg,conchuela
"2025-01-10,17:38:38",[  223] ,[ 1471] *,[  764] ,[ 1596] *,[ 1690] *,[ 1125] *,[  704] ,[  436] ,[ 1697] *,[   87] ,20250110_173838_foto.jpg,conchuela
"2025-01-10,17:38:46",[  223] ,[ 1470] *,[  764] ,[ 1596] *,[ 1689] *,[ 1124] *,[  703] ,[  436] ,[ 1696] *,[   87] ,20250110_173846_foto.jpg,conchuela
"2025-01-10,17:38:54",[  223] ,[ 1470] *,[  764] ,[ 1595] *,[ 1689] *,[ 1124] *,[  703] ,[  436] ,[ 1696] *,[   87] ,20250110_173854_foto.jpg,conchuela
"2025-01-10,17:39:01",[  223] ,[ 1470] *,[  764] ,[ 1595] *,[ 1688] *,[ 1123] *,[  703] ,[  436] ,[ 1696] *,[   87] ,20250110_173901_foto.jpg,conchuela
"2025-01-10,17:39:09",[  223] ,[ 1470] *,[  764] ,[ 1595] *,[ 1689] *,[ 1124] *,[  703] ,[  436] ,[ 1697] *,[   87] ,20250110_173909_foto.jpg,conchuela
"2025-01-10,17:39:16",[  223] ,[ 1470] *,[  764] ,[ 1595] *,[ 1688] *,[ 1123] *,[  703] ,[  435] ,[ 1695] *,[   87] ,20250110_173916_foto.jpg,conchuela
"2025-01-10,17:39:24",[  224] ,[ 1470] *,[  764] ,[ 1595] *,[ 1688] *,[ 1123] *,[  703] ,[  436] ,[ 1697] *,[   87] ,20250110_173924_foto.jpg,conchuela
"2025-01-10,17:39:33",[  224] ,[ 1471] *,[  764] ,[ 1594] *,[ 1688] *,[ 1123] *,[  703] ,[  436] ,[ 1696] *,[   87] ,20250110_173933_foto.jpg,conchuela
"2025-01-10,17:39:40",[  223] ,[ 1470] *,[  764] ,[ 1594] *,[ 1688] *,[ 1123] *,[  703] ,[  436] ,[ 1696] *,[   87] ,20250110_173940_foto.jpg,conchuela
"2025-01-10,17:39:47",[  224] ,[ 1470] *,[  764] ,[ 1594] *,[ 1687] *,[ 1123] *,[  702] ,[  435] ,[ 1694] *,[   86] ,20250110_173947_foto.jpg,conchuela
