date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean
"2025-01-11,14:01:49",[  185] ,[ 1112] *,[  641] ,[ 1313] *,[ 1407] *,[  853] ,[  567] ,[  361] ,[ 2119] **,[  106] ,20250111_140149_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/jpc/numpy_files/20250111_140150_foto_normalized.npy,0.10033,0.10681,0.10963
"2025-01-11,14:02:03",[  185] ,[ 1105] *,[  640] ,[ 1303] *,[ 1397] *,[  847] ,[  563] ,[  359] ,[ 2112] **,[  105] ,20250111_140203_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/jpc/numpy_files/20250111_140203_foto_normalized.npy,0.10146,0.10736,0.11203
"2025-01-11,14:02:11",[  185] ,[ 1103] *,[  640] ,[ 1301] *,[ 1395] *,[  845] ,[  563] ,[  359] ,[ 2110] **,[  105] ,20250111_140211_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/jpc/numpy_files/20250111_140211_foto_normalized.npy,0.10138,0.10898,0.11247
"2025-01-11,14:02:21",[  185] ,[ 1102] *,[  640] ,[ 1298] *,[ 1393] *,[  844] ,[  562] ,[  358] ,[ 2107] **,[  105] ,20250111_140221_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/jpc/numpy_files/20250111_140221_foto_normalized.npy,0.10102,0.10659,0.11111
"2025-01-11,14:02:29",[  185] ,[ 1102] *,[  640] ,[ 1298] *,[ 1393] *,[  844] ,[  562] ,[  358] ,[ 2108] **,[  105] ,20250111_140229_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/jpc/numpy_files/20250111_140229_foto_normalized.npy,0.10091,0.10532,0.10966
"2025-01-11,14:02:37",[  185] ,[ 1102] *,[  639] ,[ 1298] *,[ 1392] *,[  844] ,[  562] ,[  358] ,[ 2108] **,[  105] ,20250111_140237_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/jpc/numpy_files/20250111_140237_foto_normalized.npy,0.10124,0.10618,0.11124
"2025-01-11,14:02:54",[  184] ,[ 1101] *,[  639] ,[ 1297] *,[ 1390] *,[  843] ,[  561] ,[  358] ,[ 2105] **,[  105] ,20250111_140254_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/jpc/numpy_files/20250111_140254_foto_normalized.npy,0.1015,0.107,0.11173
"2025-01-11,14:03:03",[  184] ,[ 1100] *,[  638] ,[ 1297] *,[ 1390] *,[  843] ,[  561] ,[  358] ,[ 2105] **,[  105] ,20250111_140303_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/jpc/numpy_files/20250111_140303_foto_normalized.npy,0.10117,0.10678,0.11188
"2025-01-11,14:03:11",[  184] ,[ 1099] *,[  638] ,[ 1296] *,[ 1390] *,[  843] ,[  561] ,[  358] ,[ 2105] **,[  105] ,20250111_140311_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/jpc/numpy_files/20250111_140311_foto_normalized.npy,0.10083,0.10717,0.11158
"2025-01-11,14:03:18",[  184] ,[ 1099] *,[  638] ,[ 1296] *,[ 1389] *,[  842] ,[  560] ,[  358] ,[ 2104] **,[  105] ,20250111_140318_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/jpc/numpy_files/20250111_140318_foto_normalized.npy,0.10064,0.10714,0.11208
