date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean
"2025-01-11,13:27:42",[  220] ,[ 1447] *,[  767] ,[ 1559] *,[ 1651] *,[ 1078] *,[  686] ,[  425] ,[ 1968] *,[   96] ,20250111_132742_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_132742_foto_normalized.npy,0.11156,0.10975,0.11121
"2025-01-11,13:28:21",[  219] ,[ 1433] *,[  763] ,[ 1544] *,[ 1636] *,[ 1067] *,[  680] ,[  422] ,[ 1962] *,[   96] ,20250111_132821_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_132821_foto_normalized.npy,0.11205,0.11136,0.11138
"2025-01-11,13:28:30",[  219] ,[ 1433] *,[  764] ,[ 1544] *,[ 1636] *,[ 1068] *,[  680] ,[  422] ,[ 1964] *,[   96] ,20250111_132830_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_132830_foto_normalized.npy,0.11207,0.11147,0.11127
"2025-01-11,13:30:37",[  218] ,[ 1429] *,[  762] ,[ 1540] *,[ 1632] *,[ 1064] *,[  678] ,[  421] ,[ 1962] *,[   96] ,20250111_133037_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133037_foto_normalized.npy,0.11185,0.11148,0.11151
"2025-01-11,13:31:06",[  218] ,[ 1429] *,[  762] ,[ 1540] *,[ 1631] *,[ 1063] *,[  678] ,[  421] ,[ 1960] *,[   95] ,20250111_133106_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133106_foto_normalized.npy,0.11232,0.11205,0.1114
"2025-01-11,13:31:34",[  218] ,[ 1429] *,[  762] ,[ 1541] *,[ 1633] *,[ 1065] *,[  679] ,[  422] ,[ 1961] *,[   96] ,20250111_133134_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133134_foto_normalized.npy,0.11188,0.11149,0.11174
"2025-01-11,13:31:41",[  218] ,[ 1429] *,[  763] ,[ 1541] *,[ 1632] *,[ 1064] *,[  679] ,[  422] ,[ 1960] *,[   95] ,20250111_133141_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133141_foto_normalized.npy,0.11096,0.11074,0.11083
"2025-01-11,13:31:49",[  218] ,[ 1430] *,[  762] ,[ 1540] *,[ 1632] *,[ 1065] *,[  678] ,[  421] ,[ 1959] *,[   95] ,20250111_133149_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133149_foto_normalized.npy,0.11122,0.11101,0.11086
"2025-01-11,13:31:57",[  218] ,[ 1430] *,[  762] ,[ 1541] *,[ 1632] *,[ 1065] *,[  678] ,[  421] ,[ 1957] *,[   95] ,20250111_133157_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133157_foto_normalized.npy,0.11149,0.11104,0.11165
"2025-01-11,13:32:06",[  218] ,[ 1431] *,[  763] ,[ 1542] *,[ 1634] *,[ 1066] *,[  679] ,[  422] ,[ 1960] *,[   95] ,20250111_133206_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133206_foto_normalized.npy,0.1112,0.11171,0.11154
"2025-01-11,13:32:13",[  218] ,[ 1429] *,[  762] ,[ 1540] *,[ 1632] *,[ 1064] *,[  678] ,[  421] ,[ 1951] *,[   95] ,20250111_133213_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133213_foto_normalized.npy,0.11058,0.11081,0.10969
"2025-01-11,13:32:23",[  218] ,[ 1428] *,[  762] ,[ 1540] *,[ 1631] *,[ 1064] *,[  678] ,[  421] ,[ 1951] *,[   95] ,20250111_133223_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133223_foto_normalized.npy,0.1106,0.11064,0.11045
"2025-01-11,13:33:07",[  218] ,[ 1432] *,[  763] ,[ 1541] *,[ 1633] *,[ 1066] *,[  679] ,[  422] ,[ 1951] *,[   95] ,20250111_133307_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133307_foto_normalized.npy,0.11182,0.11079,0.11117
"2025-01-11,13:33:19",[  219] ,[ 1432] *,[  763] ,[ 1542] *,[ 1633] *,[ 1066] *,[  679] ,[  422] ,[ 1948] *,[   95] ,20250111_133319_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133319_foto_normalized.npy,0.11088,0.11098,0.11092
"2025-01-11,13:33:31",[  219] ,[ 1433] *,[  763] ,[ 1543] *,[ 1634] *,[ 1067] *,[  680] ,[  422] ,[ 1954] *,[   95] ,20250111_133331_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133331_foto_normalized.npy,0.11241,0.11214,0.11129
"2025-01-11,13:33:38",[  218] ,[ 1432] *,[  763] ,[ 1542] *,[ 1633] *,[ 1066] *,[  679] ,[  422] ,[ 1951] *,[   95] ,20250111_133338_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133338_foto_normalized.npy,0.112,0.11135,0.1112
"2025-01-11,13:33:46",[  219] ,[ 1433] *,[  763] ,[ 1542] *,[ 1635] *,[ 1067] *,[  679] ,[  422] ,[ 1954] *,[   95] ,20250111_133346_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133346_foto_normalized.npy,0.1112,0.11116,0.11079
