date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean,r_var,g_var,b_var
"2025-01-11,15:39:43",[  221] ,[ 1458] *,[  769] ,[ 1583] *,[ 1680] *,[ 1095] *,[  698] ,[  431] ,[ 2030] **,[   99] ,20250111_153943_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/bicarbonato/numpy_files/20250111_153943_foto_normalized.npy,0.11302,0.11139,0.11391,0.07509,0.07268,0.07522
"2025-01-11,15:40:05",[  219] ,[ 1441] *,[  764] ,[ 1565] *,[ 1661] *,[ 1081] *,[  690] ,[  427] ,[ 2029] **,[   99] ,20250111_154005_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154005_foto_normalized.npy,0.11311,0.1124,0.11326,0.07521,0.07391,0.07458
"2025-01-11,15:40:13",[  219] ,[ 1439] *,[  764] ,[ 1563] *,[ 1659] *,[ 1080] *,[  689] ,[  426] ,[ 2027] **,[   99] ,20250111_154013_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154013_foto_normalized.npy,0.11316,0.11179,0.11341,0.07525,0.07304,0.07467
"2025-01-11,15:40:21",[  219] ,[ 1438] *,[  764] ,[ 1561] *,[ 1658] *,[ 1079] *,[  689] ,[  426] ,[ 2027] **,[   99] ,20250111_154021_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154021_foto_normalized.npy,0.11324,0.11228,0.1131,0.07524,0.07353,0.07411
"2025-01-11,15:40:29",[  219] ,[ 1438] *,[  763] ,[ 1562] *,[ 1657] *,[ 1080] *,[  689] ,[  426] ,[ 2026] **,[   99] ,20250111_154029_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154029_foto_normalized.npy,0.11269,0.11167,0.11224,0.07477,0.07306,0.07343
"2025-01-11,15:40:38",[  219] ,[ 1438] *,[  763] ,[ 1560] *,[ 1657] *,[ 1078] *,[  688] ,[  426] ,[ 2024] **,[   99] ,20250111_154038_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154038_foto_normalized.npy,0.11238,0.11142,0.11368,0.07419,0.07259,0.07506
"2025-01-11,15:40:45",[  218] ,[ 1436] *,[  762] ,[ 1558] *,[ 1654] *,[ 1077] *,[  688] ,[  425] ,[ 2023] **,[   99] ,20250111_154045_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154045_foto_normalized.npy,0.11293,0.11205,0.11379,0.07501,0.07343,0.07524
"2025-01-11,15:40:53",[  218] ,[ 1438] *,[  763] ,[ 1560] *,[ 1655] *,[ 1077] *,[  688] ,[  425] ,[ 2024] **,[   99] ,20250111_154053_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154053_foto_normalized.npy,0.11339,0.11207,0.11298,0.07543,0.07332,0.07401
"2025-01-11,15:41:02",[  218] ,[ 1437] *,[  763] ,[ 1558] *,[ 1655] *,[ 1077] *,[  688] ,[  425] ,[ 2022] **,[   99] ,20250111_154102_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154102_foto_normalized.npy,0.11355,0.11241,0.11336,0.07556,0.07376,0.07447
"2025-01-11,15:41:12",[  218] ,[ 1436] *,[  762] ,[ 1558] *,[ 1654] *,[ 1077] *,[  687] ,[  425] ,[ 2020] **,[   98] ,20250111_154112_foto.jpg,bicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/bicarbonato/numpy_files/20250111_154112_foto_normalized.npy,0.11366,0.11245,0.11377,0.07572,0.0738,0.07515
