date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean,r_var,g_var,b_var
"2025-01-10,17:57:21",[  196] ,[ 1272] *,[  696] ,[ 1438] *,[ 1533] *,[  971] ,[  622] ,[  393] ,[ 1816] *,[   94] ,20250110_175721_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_175722_foto_normalized.npy,0.04515,0.08546,0.11245,0.0137,0.03996,0.07071
"2025-01-10,17:57:42",[  195] ,[ 1265] *,[  694] ,[ 1428] *,[ 1523] *,[  965] ,[  618] ,[  391] ,[ 1807] *,[   93] ,20250110_175742_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_175742_foto_normalized.npy,0.04737,0.09395,0.11513,0.01454,0.04807,0.07337
"2025-01-10,17:57:49",[  195] ,[ 1264] *,[  694] ,[ 1426] *,[ 1521] *,[  965] ,[  618] ,[  391] ,[ 1807] *,[   93] ,20250110_175749_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_175749_foto_normalized.npy,0.04964,0.09708,0.11408,0.01593,0.05133,0.07203
"2025-01-10,17:57:56",[  195] ,[ 1265] *,[  695] ,[ 1426] *,[ 1521] *,[  964] ,[  617] ,[  391] ,[ 1806] *,[   93] ,20250110_175756_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_175756_foto_normalized.npy,0.04948,0.09215,0.11396,0.01577,0.04616,0.07187
"2025-01-10,17:58:04",[  195] ,[ 1265] *,[  695] ,[ 1426] *,[ 1520] *,[  964] ,[  617] ,[  391] ,[ 1805] *,[   93] ,20250110_175804_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_175804_foto_normalized.npy,0.05364,0.09392,0.11251,0.01821,0.04793,0.0701
"2025-01-10,17:58:11",[  195] ,[ 1264] *,[  695] ,[ 1425] *,[ 1519] *,[  963] ,[  617] ,[  391] ,[ 1805] *,[   93] ,20250110_175811_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_175811_foto_normalized.npy,0.05216,0.09641,0.11305,0.01745,0.05054,0.07068
"2025-01-10,17:58:19",[  194] ,[ 1262] *,[  694] ,[ 1424] *,[ 1518] *,[  962] ,[  617] ,[  391] ,[ 1802] *,[   93] ,20250110_175819_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_175819_foto_normalized.npy,0.05022,0.08995,0.11362,0.01604,0.04399,0.07137
"2025-01-10,17:58:27",[  194] ,[ 1263] *,[  694] ,[ 1425] *,[ 1519] *,[  963] ,[  617] ,[  391] ,[ 1805] *,[   93] ,20250110_175827_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_175827_foto_normalized.npy,0.04925,0.09454,0.11377,0.01563,0.04855,0.07154
"2025-01-10,17:58:34",[  194] ,[ 1262] *,[  694] ,[ 1423] *,[ 1518] *,[  963] ,[  617] ,[  391] ,[ 1804] *,[   93] ,20250110_175834_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_175834_foto_normalized.npy,0.05015,0.10689,0.11433,0.01617,0.06201,0.07229
"2025-01-10,17:58:41",[  194] ,[ 1261] *,[  694] ,[ 1423] *,[ 1518] *,[  962] ,[  617] ,[  391] ,[ 1803] *,[   93] ,20250110_175841_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_175841_foto_normalized.npy,0.05006,0.08939,0.11561,0.01617,0.0435,0.07381
