date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean,r_var,g_var,b_var
"2025-01-11,14:01:49",[  185] ,[ 1112] *,[  641] ,[ 1313] *,[ 1407] *,[  853] ,[  567] ,[  361] ,[ 2119] **,[  106] ,20250111_140149_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140150_foto_normalized.npy,0.10033,0.10681,0.10963,0.06,0.06655,0.06974
"2025-01-11,14:02:03",[  185] ,[ 1105] *,[  640] ,[ 1303] *,[ 1397] *,[  847] ,[  563] ,[  359] ,[ 2112] **,[  105] ,20250111_140203_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140203_foto_normalized.npy,0.10146,0.10736,0.11203,0.06087,0.06696,0.07195
"2025-01-11,14:02:11",[  185] ,[ 1103] *,[  640] ,[ 1301] *,[ 1395] *,[  845] ,[  563] ,[  359] ,[ 2110] **,[  105] ,20250111_140211_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140211_foto_normalized.npy,0.10138,0.10898,0.11247,0.06079,0.06894,0.07255
"2025-01-11,14:02:21",[  185] ,[ 1102] *,[  640] ,[ 1298] *,[ 1393] *,[  844] ,[  562] ,[  358] ,[ 2107] **,[  105] ,20250111_140221_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140221_foto_normalized.npy,0.10102,0.10659,0.11111,0.0603,0.066,0.07086
"2025-01-11,14:02:29",[  185] ,[ 1102] *,[  640] ,[ 1298] *,[ 1393] *,[  844] ,[  562] ,[  358] ,[ 2108] **,[  105] ,20250111_140229_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140229_foto_normalized.npy,0.10091,0.10532,0.10966,0.06014,0.06437,0.06904
"2025-01-11,14:02:37",[  185] ,[ 1102] *,[  639] ,[ 1298] *,[ 1392] *,[  844] ,[  562] ,[  358] ,[ 2108] **,[  105] ,20250111_140237_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140237_foto_normalized.npy,0.10124,0.10618,0.11124,0.06052,0.06535,0.07087
"2025-01-11,14:02:54",[  184] ,[ 1101] *,[  639] ,[ 1297] *,[ 1390] *,[  843] ,[  561] ,[  358] ,[ 2105] **,[  105] ,20250111_140254_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140254_foto_normalized.npy,0.1015,0.107,0.11173,0.06086,0.06645,0.07147
"2025-01-11,14:03:03",[  184] ,[ 1100] *,[  638] ,[ 1297] *,[ 1390] *,[  843] ,[  561] ,[  358] ,[ 2105] **,[  105] ,20250111_140303_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140303_foto_normalized.npy,0.10117,0.10678,0.11188,0.06033,0.06595,0.07144
"2025-01-11,14:03:11",[  184] ,[ 1099] *,[  638] ,[ 1296] *,[ 1390] *,[  843] ,[  561] ,[  358] ,[ 2105] **,[  105] ,20250111_140311_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140311_foto_normalized.npy,0.10083,0.10717,0.11158,0.06006,0.06655,0.07136
"2025-01-11,14:03:18",[  184] ,[ 1099] *,[  638] ,[ 1296] *,[ 1389] *,[  842] ,[  560] ,[  358] ,[ 2104] **,[  105] ,20250111_140318_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140318_foto_normalized.npy,0.10064,0.10714,0.11208,0.05986,0.06658,0.07189
"2025-01-11,14:03:27",[  184] ,[ 1099] *,[  638] ,[ 1294] *,[ 1389] *,[  842] ,[  560] ,[  358] ,[ 2103] **,[  105] ,20250111_140327_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140327_foto_normalized.npy,0.10196,0.10668,0.1114,0.06129,0.0661,0.07112
"2025-01-11,14:03:35",[  184] ,[ 1098] *,[  638] ,[ 1295] *,[ 1388] *,[  841] ,[  560] ,[  357] ,[ 2100] **,[  105] ,20250111_140335_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140335_foto_normalized.npy,0.10084,0.10762,0.11201,0.06,0.06729,0.07197
"2025-01-11,14:03:44",[  183] ,[ 1098] *,[  637] ,[ 1294] *,[ 1387] *,[  840] ,[  559] ,[  357] ,[ 2098] **,[  104] ,20250111_140344_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140344_foto_normalized.npy,0.10211,0.10723,0.11127,0.06169,0.06693,0.07108
"2025-01-11,14:03:53",[  184] ,[ 1098] *,[  637] ,[ 1293] *,[ 1386] *,[  840] ,[  559] ,[  357] ,[ 2098] **,[  105] ,20250111_140353_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140353_foto_normalized.npy,0.10231,0.10842,0.11239,0.06188,0.06825,0.07247
"2025-01-11,14:04:00",[  183] ,[ 1097] *,[  637] ,[ 1294] *,[ 1387] *,[  840] ,[  559] ,[  357] ,[ 2098] **,[  104] ,20250111_140400_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140400_foto_normalized.npy,0.10188,0.10846,0.1114,0.06142,0.0683,0.07109
"2025-01-11,14:04:08",[  184] ,[ 1097] *,[  637] ,[ 1294] *,[ 1388] *,[  841] ,[  560] ,[  357] ,[ 2100] **,[  105] ,20250111_140408_foto.jpg,jpc,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/jpc/numpy_files/20250111_140408_foto_normalized.npy,0.10135,0.10736,0.11095,0.06065,0.06695,0.07075
