date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean,r_var,g_var,b_var
"2025-01-11,13:27:42",[  220] ,[ 1447] *,[  767] ,[ 1559] *,[ 1651] *,[ 1078] *,[  686] ,[  425] ,[ 1968] *,[   96] ,20250111_132742_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_132742_foto_normalized.npy,0.11156,0.10975,0.11121,0.07439,0.07144,0.07318
"2025-01-11,13:28:21",[  219] ,[ 1433] *,[  763] ,[ 1544] *,[ 1636] *,[ 1067] *,[  680] ,[  422] ,[ 1962] *,[   96] ,20250111_132821_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_132821_foto_normalized.npy,0.11205,0.11136,0.11138,0.07455,0.0727,0.0728
"2025-01-11,13:28:30",[  219] ,[ 1433] *,[  764] ,[ 1544] *,[ 1636] *,[ 1068] *,[  680] ,[  422] ,[ 1964] *,[   96] ,20250111_132830_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_132830_foto_normalized.npy,0.11207,0.11147,0.11127,0.07442,0.07279,0.07261
"2025-01-11,13:30:37",[  218] ,[ 1429] *,[  762] ,[ 1540] *,[ 1632] *,[ 1064] *,[  678] ,[  421] ,[ 1962] *,[   96] ,20250111_133037_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133037_foto_normalized.npy,0.11185,0.11148,0.11151,0.07406,0.07267,0.07278
"2025-01-11,13:31:06",[  218] ,[ 1429] *,[  762] ,[ 1540] *,[ 1631] *,[ 1063] *,[  678] ,[  421] ,[ 1960] *,[   95] ,20250111_133106_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133106_foto_normalized.npy,0.11232,0.11205,0.1114,0.07459,0.07332,0.07263
"2025-01-11,13:31:34",[  218] ,[ 1429] *,[  762] ,[ 1541] *,[ 1633] *,[ 1065] *,[  679] ,[  422] ,[ 1961] *,[   96] ,20250111_133134_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133134_foto_normalized.npy,0.11188,0.11149,0.11174,0.07411,0.07267,0.07303
"2025-01-11,13:31:41",[  218] ,[ 1429] *,[  763] ,[ 1541] *,[ 1632] *,[ 1064] *,[  679] ,[  422] ,[ 1960] *,[   95] ,20250111_133141_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133141_foto_normalized.npy,0.11096,0.11074,0.11083,0.07304,0.07192,0.07212
"2025-01-11,13:31:49",[  218] ,[ 1430] *,[  762] ,[ 1540] *,[ 1632] *,[ 1065] *,[  678] ,[  421] ,[ 1959] *,[   95] ,20250111_133149_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133149_foto_normalized.npy,0.11122,0.11101,0.11086,0.07337,0.07231,0.07218
"2025-01-11,13:31:57",[  218] ,[ 1430] *,[  762] ,[ 1541] *,[ 1632] *,[ 1065] *,[  678] ,[  421] ,[ 1957] *,[   95] ,20250111_133157_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133157_foto_normalized.npy,0.11149,0.11104,0.11165,0.0743,0.07293,0.0737
"2025-01-11,13:32:06",[  218] ,[ 1431] *,[  763] ,[ 1542] *,[ 1634] *,[ 1066] *,[  679] ,[  422] ,[ 1960] *,[   95] ,20250111_133206_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133206_foto_normalized.npy,0.1112,0.11171,0.11154,0.07329,0.07309,0.07296
